Name,Price,Rating,Link
Oppo A83 4GB RAM+64GB Refurbished -4G LTE Dual SIM-5.7-inch- Face Unlock -Blue,6899,3.9 out of 5,https://www.jumia.co.ke/customer/account/login/?tkWl=RE346MP4TRP46NAFAMZ-282028119&return=%2Fcatalog%2F%3Fq%3Dphones%26page%3D1
"Itel 2163, 1.8""screen  1000mAh, Bright Torch...Wireless FM- Dual Sim//Blue",1118,4.2 out of 5,https://www.jumia.co.ke/customer/account/login/?tkWl=IT910MP0O6889NAFAMZ-73707981&return=%2Fcatalog%2F%3Fq%3Dphones%26page%3D1
"XIAOMI Redmi 13C , 6.74"" 8GB RAM + 256GB ROM, 50MP AI Triple Camera, 5000mAh (Dual Sim) -+f9 +SWATCH (13Months)",17299,3.9 out of 5,https://www.jumia.co.ke/xiaomi-redmi-13c-6.74-8gb-ram-256gb-rom-50mp-ai-triple-camera-5000mah-dual-sim-f9-swatch-13months-171305724.html
"Tecno POP 8, 6.6"", 128GB + 4GB RAM (Extended to 8GB), 13MP, 4G (Dual SIM), 5000MAh - Mystery White (1YR WRTY)",12080,4.3 out of 5,https://www.jumia.co.ke/customer/account/login/?tkWl=TE685MP3PTE09NAFAMZ-356903748&return=%2Fcatalog%2F%3Fq%3Dphones%26page%3D1
"Itel A18 5.0"", 32GB + 1GB RAM, 2400mAh - Lime green",5277,3.8 out of 5,https://www.jumia.co.ke/customer/account/login/?tkWl=IT910MP4HAD32NAFAMZ-355787443&return=%2Fcatalog%2F%3Fq%3Dphones%26page%3D1
"Tecno Spark 20, Android 13, 6.6"", 128GB + 4GB RAM(4GB Extended), 50MP, 5000mAh, Neon Gold (1YR WRTY)",12599,4.3 out of 5,https://www.jumia.co.ke/customer/account/login/?tkWl=TE685MP3PISRCNAFAMZ-408804849&return=%2Fcatalog%2F%3Fq%3Dphones%26page%3D1
"Samsung Galaxy A05, 6.7'' 4GB RAM + 64GB ROM (Dual Sim) 50MP Camera, 5000mAh - Black",10945,3.8 out of 5,https://www.jumia.co.ke/samsung-galaxy-a05-6.7-4gb-ram-64gb-rom-dual-sim-50mp-camera-5000mah-black-185881786.html
"Tecno Spark 30c, 6.67'' HD+, UP to 128GB ROM+ 4GB RAM +(4GB RAM Extended)  (Dual Sim) 50MP, 5000 mAh - Orbit Black",13999,3.8 out of 5,https://www.jumia.co.ke/customer/account/login/?tkWl=TE685MP4VO5CLNAFAMZ-405405815&return=%2Fcatalog%2F%3Fq%3Dphones%26page%3D1
"Oppo Refurbished OPPO F7 6.2 ""FHD+ 4GB+128GB Silver",7444,3.5 out of 5,https://www.jumia.co.ke/customer/account/login/?tkWl=OP981MP4M9ZECNAFAMZ-382974019&return=%2Fcatalog%2F%3Fq%3Dphones%26page%3D1
"Tecno SPARK 20,6.6 HD+,,50MP, 4GB RAM,128GB ,DUAL SPEAKERS+WSP",15299,4.1 out of 5,https://www.jumia.co.ke/tecno-spark-206.6-hd50mp-4gb-ram128gb-dual-speakerswsp-175993100.html
"Itel S23 6.6"", 128GB ROM + Up To 8GB RAM, 50MP Camera, 5000mAh+CELLINY 8",10980,4 out of 5,https://www.jumia.co.ke/customer/account/login/?tkWl=IT910MP2J5ICJNAFAMZ-197798986&return=%2Fcatalog%2F%3Fq%3Dphones%26page%3D1
"Itel A18 5.0"", 32GB + 1GB RAM, 2400mAh - Morion Grey",5277,3.8 out of 5,https://www.jumia.co.ke/customer/account/login/?tkWl=IT910MP3OPK1QNAFAMZ-355787461&return=%2Fcatalog%2F%3Fq%3Dphones%26page%3D1
"Freeyond M5,8GB+128GB,6.52"", 50MP,4G Smartphone 5000mAh Dual SIM Android Phone,Black",10390,4.1 out of 5,https://www.jumia.co.ke/customer/account/login/?tkWl=FR407MP2OKL3ANAFAMZ-142510548&return=%2Fcatalog%2F%3Fq%3Dphones%26page%3D1
"Tecno SPARK 20,6.6 HD+,90GHZ REFRESH RATE,50MP,UPTO 8GB RAM,128GB ROM,DUAL SPEAKERS+SW BDS",14999,4.2 out of 5,https://www.jumia.co.ke/tecno-spark-206.6-hd90ghz-refresh-rate50mpupto-8gb-ram128gb-romdual-speakerssw-bds-175894689.html
"Infinix Note 30 Pro, 256ROM+8GB RAM,6.78"" FHD+ 5000mAh,black",24999,4.9 out of 5,https://www.jumia.co.ke/customer/account/login/?tkWl=IN213MP2VXNWINAFAMZ-192901204&return=%2Fcatalog%2F%3Fq%3Dphones%26page%3D1
"VILLAON V20 SE 5.0"" 4GB RAM+32GB Storage 8MP Camera-3000mAh Dual Sim TYHJ",5429,3.4 out of 5,https://www.jumia.co.ke/villaon-v20-se-5.0-4gb-ram32gb-storage-8mp-camera-3000mah-dual-sim-tyhj-265649052.html
"Tecno T529, screen Size28, LCD Screen, GSM, 008MP, 2500mAh Black",2550,4.4 out of 5,https://www.jumia.co.ke/customer/account/login/?tkWl=TE685MP17PM55NAFAMZ-73997062&return=%2Fcatalog%2F%3Fq%3Dphones%26page%3D1
"Tecno Spark 20 Pro ,6.78"" //8GB RAM (Expandable Upto 16GB RAM)+256GB Storage //108MP Ultra Sensing Camera //5000mAh //Dual sim /Ksly -B",21999,3.5 out of 5,https://www.jumia.co.ke/tecno-spark-20-pro-6.78-8gb-ram-expandable-upto-16gb-ram256gb-storage-108mp-ultra-sensing-camera-5000mah-dual-sim-ksly-b-182931133.html
"Nokia Nokia106 1.77"" Dual SIM- Black",1825,4.7 out of 5,https://www.jumia.co.ke/customer/account/login/?tkWl=NO891MP3USMU8NAFAMZ-393036127&return=%2Fcatalog%2F%3Fq%3Dphones%26page%3D1
