Brand,Price,Rating,Image,Link
"ORIGINAL AIR JORDAN 4 RETRO FIRE RED (BEST SHOP FOR AIRFORCE, AIR FORCE, AIR JORDAN, AIR MAX, AIRMAX AND ALL OTHER FASHIONABLE/HIGH QUALITY SNEAKERS)",3999,(0),,https://www.kilimall.co.ke//listing/1000322074-original-air-jordan-4-retro-fire-red-best-shop-for-airforce-air-force-air-jordan-air-max-airmax-and-all-other-fashionablehigh-quality-sneakers?skuId=10001112803
New arrival⚡ high Cut  Airforce 1 boot breathable Unisex 🔥🔥 sneaker shoes,2500,(5),,https://www.kilimall.co.ke//listing/1000247711-new-arrival-high-cut-airforce-1-boot-breathable-unisex-sneaker-shoes?skuId=10000735377
"Airforce 1 KIDS CHUNKY LACES Boys and Girls Shoes Comfortable Babies Sneakers Sport Shoes

SIZES (25-35)",1999,(0),,https://www.kilimall.co.ke//listing/1000395130-airforce-1-kids-chunky-laces-boys-and-girls-shoes-comfortable-babies-sneakers-sport-shoessizes-2535?skuId=10001498325
"Classic AF1 Airforce  Womens and Mens  Shoes Comfortable Lace Up Sneakers Fashionable Ladies  and Gentlemens Shoes Low Dunk Sneakers Girls and Boys Sports Shoes


Sizes 37-42",2399,(0),,https://www.kilimall.co.ke//listing/1000342521-classic-af1-airforce-womens-and-mens-shoes-comfortable-lace-up-sneakers-fashionable-ladies-and-gentlemens-shoes-low-dunk-sneakers-girls-and-boys-sports-shoessizes-3742?skuId=10001191138
High Quality Airforce one Shadow ladies sneakers,2499,(3),,https://www.kilimall.co.ke//listing/1000243308-high-quality-airforce-one-shadow-ladies-sneakers?skuId=10000712033
original airforce 1 shoes white,2490,(65),,https://www.kilimall.co.ke//listing/2570562-original-airforce-1-shoes-white?skuId=18503836
"NEW ARRIVAL AIR FORCE 1 DIOR BLACK,HIGH QUALITY SNEAKERS, FASHIONABLE SNEAKERS, AIRFORCE 1.",3399,(0),,https://www.kilimall.co.ke//listing/2725369-new-arrival-air-force-1-dior-blackhigh-quality-sneakers-fashionable-sneakers-airforce-1?skuId=19224250
Nike Air Jordan High Top Cut Unisex Breathable Airforce Men Women Sports Sneakers Shoes,2499,(27),,https://www.kilimall.co.ke//listing/2818346-nike-air-jordan-high-top-cut-unisex-breathable-airforce-men-women-sports-sneakers-shoes?skuId=19333512
"ORIGINAL AIR JORDAN 4 RETRO, MILITARY BLACK AND WHITE (BEST SHOP FOR AIRFORCE, AIR FORCE, AIR JORDAN, AIR MAX, AIRMAX)",3999,(4),,https://www.kilimall.co.ke//listing/1000320876-original-air-jordan-4-retro-military-black-and-white-best-shop-for-airforce-air-force-air-jordan-air-max-airmax?skuId=10001109596
Trending Airforce 1 Black suede sneaker shoe,2500,(0),,https://www.kilimall.co.ke//listing/1000393240-trending-airforce-1-black-suede-sneaker-shoe?skuId=10001490179
"Classic AF1 Suede Airforce  Womens and Mens  Shoes Comfortable Lace Up Sneakers Fashionable Ladies  and Gentlemens Shoes Low Dunk Sneakers Girls and Boys Sports Shoes


Sizes 37-42",2399,(0),,https://www.kilimall.co.ke//listing/1000343311-classic-af1-suede-airforce-womens-and-mens-shoes-comfortable-lace-up-sneakers-fashionable-ladies-and-gentlemens-shoes-low-dunk-sneakers-girls-and-boys-sports-shoessizes-3742?skuId=10001194567
"ORIGINAL AIR FORCE 1 WHITE AND BLACK, HIGH QUALITY SNEAKERS. AIRFORCE 1 WHITE BLACK",3500,(45),,https://www.kilimall.co.ke//listing/2752964-original-air-force-1-white-and-black-high-quality-sneakers-airforce-1-white-black?skuId=10000473168
High Quality Cute 🥰🥹 Airforce 1 Chunky Laces Shadow valentines multicolour sneakers 🔥 rubbers 🔥 sneakers for women fashion shoes,2499,(1),,https://www.kilimall.co.ke//listing/1000378724-high-quality-cute-airforce-1-chunky-laces-shadow-valentines-multicolour-sneakers-rubbers-sneakers-for-women-fashion-shoes?skuId=10001416700
