Name,Price,Rating,Link
C Idea 8 Inch Tablet Android 12 256GB Storage SIM Long Battery Life For Adults Teenagers Black,7861,No Ratings,https://www.jumia.co.ke/customer/account/login/?tkWl=CI057MP4DABHFNAFAMZ-364554846&return=%2Fcatalog%2F%3Fq%3Dtablets%26page%3D1
"C Idea 7 Inches Kids Tablet, Dual Cameras 256Gb Android 9 Tablets With Low Price",5699,2.7 out of 5,https://www.jumia.co.ke/c-idea-7-inches-kids-tablet-dual-cameras-256gb-android-9-tablets-with-low-price-201089827.html
"Atouch Apad 5G Dual Card, 7-inch Screen, 8GB + 256GB,Front 5.0M Back 8.0M",7500,No Ratings,https://www.jumia.co.ke/customer/account/login/?tkWl=AT249MP4GNJ2MNAFAMZ-389760301&return=%2Fcatalog%2F%3Fq%3Dtablets%26page%3D1
C Idea 7 Inch Android 12 Kid Tablet Dual Camera 128GB Memory 5000mAh Blue,6093,No Ratings,https://www.jumia.co.ke/customer/account/login/?tkWl=CI057MP45DQVVNAFAMZ-364588779&return=%2Fcatalog%2F%3Fq%3Dtablets%26page%3D1
Bebe  3500mAh Big ROM 256GB+RAM 6GB 8inch KIDS STUDY TABLETS 5G With Simcard Slot,13998,3 out of 5,https://www.jumia.co.ke/bebe-3500mah-big-rom-256gbram-6gb-8inch-kids-study-tablets-5g-with-simcard-slot-162014627.html
C Idea 7 Inch Android 12 Tablet Dual Camera 6GB RAM 5000mAh For Adult Kid Red,6093,5 out of 5,https://www.jumia.co.ke/customer/account/login/?tkWl=CI057MP3SDVZ5NAFAMZ-364120198&return=%2Fcatalog%2F%3Fq%3Dtablets%26page%3D1
C Idea Android 12 7 Inch Kid Tablet Dual Camera 6GB RAM 5000mAh Green,6093,No Ratings,https://www.jumia.co.ke/customer/account/login/?tkWl=CI057MP455F3XNAFAMZ-363899667&return=%2Fcatalog%2F%3Fq%3Dtablets%26page%3D1
8.5 Inches Generic Digital Writing Lcd Writing Tablet For Kids--,836,4.5 out of 5,https://www.jumia.co.ke/customer/account/login/?tkWl=GE840EA2VVXN3NAFAMZ-183374158&return=%2Fcatalog%2F%3Fq%3Dtablets%26page%3D1
C Idea 10.1 Inch Android Tablet PC 12 Dual Camera Sim 8GB RAM 512GB Bluetooth Gray,13267,4 out of 5,https://www.jumia.co.ke/customer/account/login/?tkWl=CI057MP1YKQVZNAFAMZ-237264260&return=%2Fcatalog%2F%3Fq%3Dtablets%26page%3D1
"C Idea 9 Inches Android 12 Tablets SIM WiFi 256GB ,1280 * 800,8000mAh Battery Tablet Purple",9336,3 out of 5,https://www.jumia.co.ke/c-idea-9-inches-android-12-tablets-sim-wifi-256gb-1280-8008000mah-battery-tablet-purple-178014599.html
"C Idea 8 Inches Reading Android 13 Sim WiFi Tablet Touch Screen,8MP Rear Cameras,5000mAh",7272,3.7 out of 5,https://www.jumia.co.ke/customer/account/login/?tkWl=CI057MP314EJANAFAMZ-210796515&return=%2Fcatalog%2F%3Fq%3Dtablets%26page%3D1
"C Idea 9 Inches Android 12 Tablets WiFi 256GB SIM,1280 * 800,8000mAh Battery Tablet Red",9336,5 out of 5,https://www.jumia.co.ke/c-idea-9-inches-android-12-tablets-wifi-256gb-sim1280-8008000mah-battery-tablet-red-178014593.html
C Idea 8 Inch Tablet Android 12 256GB Storage Long Battery SIM Life For Adults Teenagers Green,7861,No Ratings,https://www.jumia.co.ke/customer/account/login/?tkWl=CI057MP4SJLK3NAFAMZ-364905726&return=%2Fcatalog%2F%3Fq%3Dtablets%26page%3D1
"Atouch Apad 5G Dual Card, 7-inch Screen, 8GB + 256GB,Front 5.0M Back 8.0M",7500,No Ratings,https://www.jumia.co.ke/customer/account/login/?tkWl=AT249MP4XDCCMNAFAMZ-390139531&return=%2Fcatalog%2F%3Fq%3Dtablets%26page%3D1
Bebe KIDS STUDY TABLETS 64GB/4GB For WIFI Only {no Sim Card Slot},7500,2.5 out of 5,https://www.jumia.co.ke/customer/account/login/?tkWl=BE432EA2IQXBFNAFAMZ-207050711&return=%2Fcatalog%2F%3Fq%3Dtablets%26page%3D1
C Idea 8 Inch Tablet Android 12 256GB Storage SIM Long Battery Life For Adults Teenagers Black,7861,No Ratings,https://www.jumia.co.ke/customer/account/login/?tkWl=CI057MP43JHK8NAFAMZ-392567667&return=%2Fcatalog%2F%3Fq%3Dtablets%26page%3D1
Idino 6000mAH RAM 8GB/ROM 512GB  10inch Android 11 SIM CARD SLOT NOTEBOOK 6 TABLET PC,19998,3.7 out of 5,https://www.jumia.co.ke/idino-6000mah-ram-8gbrom-512gb-10inch-android-11-sim-card-slot-notebook-6-tablet-pc-161684867.html
