Name,Price,Rating,Link,Image
Fashion Children's Sports Leather Shoes Boys And Girls Flat Running Shoes Sneaker Yellow,3080,5 out of 5,https://www.jumia.co.ke/fashion-childrens-sports-leather-shoes-boys-and-girls-flat-running-shoes-sneaker-yellow-65772761.html,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/16/727756/1.jpg?3484
Fashion Boys Mesh Sneakers(white),2964,5 out of 5,https://www.jumia.co.ke/fashion-boys-mesh-sneakerswhite-90495057.html,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/75/059409/1.jpg?1774
Fashion Kids' Spiderman Luminous LED Fashionable  Sneakers,2300,4 out of 5,https://www.jumia.co.ke/fashion-kids-spiderman-luminous-led-fashionable-sneakers-60761255.html,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/55/216706/1.jpg?1214
Fashion Children's Shoes Sports Casual Shoes,4193,No Ratings,https://www.jumia.co.ke/fashion-childrens-shoes-sports-casual-shoes-123460983.html,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/38/9064321/1.jpg?2167
Fashion 2021 New Boys Thick Sneakers Trendy Casual Shoes,4038,5 out of 5,https://www.jumia.co.ke/fashion-2021-new-boys-thick-sneakers-trendy-casual-shoes-51440023.html,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/32/004415/1.jpg?0210
Fashion Children's LED Lighting Shoes Boys And Girls Luminous Casual Flat Sneakers-Black,2259,5 out of 5,https://www.jumia.co.ke/fashion-childrens-led-lighting-shoes-boys-and-girls-luminous-casual-flat-sneakers-black-101950458.html,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/85/4059101/1.jpg?4404
Fashion Sneakers Children School Sport Shoes Boys Girls Walking,2800,5 out of 5,https://www.jumia.co.ke/fashion-sneakers-children-school-sport-shoes-boys-girls-walking-81681298.html,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/89/218618/1.jpg?6588
Fashion Children's Trend Basketball Shoes Sneakers-Black White,5000,5 out of 5,https://www.jumia.co.ke/fashion-childrens-trend-basketball-shoes-sneakers-black-white-110921813.html,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/31/8129011/1.jpg?2851
Fashion Children's Basketball Shoes High Top Leather -White Black à Prix Pas Cher,3200,4.8 out of 5,https://www.jumia.co.ke/fashion-childrens-basketball-shoes-high-top-leather-white-black-a-prix-pas-cher-81679422.html,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/22/497618/1.jpg?0678
Fashion Gold Cool Hip-hop Print Breathable Boys Kids Children Shoes,3353,5 out of 5,https://www.jumia.co.ke/fashion-gold-cool-hip-hop-print-breathable-boys-kids-children-shoes-90490993.html,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/39/909409/1.jpg?1330
Fashion Men's And Women's Children's Hollow Breathable Sports Shoes Running Shoes-Grey,4300,No Ratings,https://www.jumia.co.ke/fashion-mens-and-womens-childrens-hollow-breathable-sports-shoes-running-shoes-grey-62981942.html,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/24/918926/1.jpg?8467
Fashion Kid's Non-slip Breathable Sneakers-White,2990,4.3 out of 5,https://www.jumia.co.ke/fashion-kids-non-slip-breathable-sneakers-white-33146201.html,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/10/264133/1.jpg?0389
Fashion Cartoon Heightened Comfortable Boy Kid Children Shoes,2182,No Ratings,https://www.jumia.co.ke/fashion-cartoon-heightened-comfortable-boy-kid-children-shoes-165803873.html,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/37/8308561/1.jpg?3833
Fashion Kid's Breathable Non-slip Sneakers Casual Slip-on Shoes-Black Red,4190,No Ratings,https://www.jumia.co.ke/fashion-kids-breathable-non-slip-sneakers-casual-slip-on-shoes-black-red-160075217.html,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/71/2570061/1.jpg?4116
Fashion Boys Sneakers Kids Mesh Athletic Running Shoes Black&Green,3790,No Ratings,https://www.jumia.co.ke/fashion-boys-sneakers-kids-mesh-athletic-running-shoes-blackgreen-148822603.html,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/30/6228841/1.jpg?7604
Fashion Kids Canvas Shoes Boys Skateboard Sneakers Green,3065,No Ratings,https://www.jumia.co.ke/fashion-kids-canvas-shoes-boys-skateboard-sneakers-green-148822511.html,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/11/5228841/1.jpg?7605
Fashion Children's Basketball Shoes High Top Leather -White Black à Prix Pas Cher,3249,No Ratings,https://www.jumia.co.ke/fashion-childrens-basketball-shoes-high-top-leather-white-black-a-prix-pas-cher-164718364.html,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/46/3817461/1.jpg?7523
Fashion Kid's Breathable Non-slip Sneakers Casual Slip-on Shoes-Black Red,4300,No Ratings,https://www.jumia.co.ke/fashion-kids-breathable-non-slip-sneakers-casual-slip-on-shoes-black-red-160257557.html,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/75/5752061/1.jpg?6971
