Brand,Price,Rating,Image,Link
"Lenovo ThinkPad L380 Yoga x360 Core I5 8th generation Quad core, 8GB RAM 256GB SSD 13.3 Inches FHD Touchscreen with a stylus Pen 2 in 1 Refurbished Laptop",29999,(0),,https://www.kilimall.co.ke//listing/1000392715-lenovo-thinkpad-l380-yoga-x360-core-i5-8th-generation-quad-core-8gb-ram-256gb-ssd-133-inches-fhd-touchscreen-with-a-stylus-pen-2-in-1-refurbished-laptop?skuId=10001488028
"(Free Mouse)Refurbished Laptop Lenovo Thinkpad T440P Core i5 6th 8GB+500GB+14"" Windows 11 14"" FHD Display Bluetooth Webcam WiFi Intel Graphics 6 Months Warranty laptops",18999,(4),,https://www.kilimall.co.ke//listing/1000336639-free-mouserefurbished-laptop-lenovo-thinkpad-t440p-core-i5-6th-8gb500gb14-windows-11-14-fhd-display-bluetooth-webcam-wifi-intel-graphics-6-months-warranty-laptops?skuId=10001170029
"[Black Friday Deals] HOT SALE PANASONIC CF-MX5: Versatile 12.5"" Laptop with i5-6200U, 4GB/8GB RAM, 128GB/256GB SSD, Touch-Screen, Pen Input, 64-Bit Operating System, 6 Month Warranty",12999,(8),,https://www.kilimall.co.ke//listing/1000241501-black-friday-deals-hot-sale-panasonic-cfmx5-versatile-125-laptop-with-i56200u-4gb8gb-ram-128gb256gb-ssd-touchscreen-pen-input-64bit-operating-system-6-month-warranty?skuId=10000704035
"(i5+8GB+256GB+14""+Mouse)Refurbished Hp Elitebook 840 G3 Laptop - Intel Core i5 6th - 8GB RAM 256GB SSD ROM - 14'' Windows 10 Notebook Silver 14 inch FHD Display",20999,(0),,https://www.kilimall.co.ke//listing/1000379219-i58gb256gb14mouserefurbished-hp-elitebook-840-g3-laptop-intel-core-i5-6th-8gb-ram-256gb-ssd-rom-14-windows-10-notebook-silver-14-inch-fhd-display?skuId=10001420177
(4GB + 320GB HDD) Refurbished Lenovo Thinkpad Yoga 11e Celeron 4GB RAM + 320GB HDD Storage Laptop Windows Installed Non-touchscreen Laptops Notebook Computer,11299,(2),,https://www.kilimall.co.ke//listing/1000409254-4gb-320gb-hdd-refurbished-lenovo-thinkpad-yoga-11e-celeron-4gb-ram-320gb-hdd-storage-laptop-windows-installed-nontouchscreen-laptops-notebook-computer?skuId=10001547266
( With Sylus Pen ) Touchscreen Refurbished Lenovo Thinkpad Yoga 11E X360 2 IN 1 Laptop Intel Celeron 8GB Ram 128GB SSD 11.6''inch Refurbished Laptop Computer Notebook,14549,(0),,https://www.kilimall.co.ke//listing/1000356189-with-sylus-pen-touchscreen-refurbished-lenovo-thinkpad-yoga-11e-x360-2-in-1-laptop-intel-celeron-8gb-ram-128gb-ssd-116inch-refurbished-laptop-computer-notebook?skuId=10001263361
"(Special Offer) Refurbished HP Chromebook 11 G5 Laptop 11.6"" Display Intel Celeron N3060 4GB RAM + 16GB SSD Storage  HDMI  HD Camera Chrome OS Laptops Computer Notebook 6 Months Warraanty",8599,(4),,https://www.kilimall.co.ke//listing/2996811-special-offer-refurbished-hp-chromebook-11-g5-laptop-116-display-intel-celeron-n3060-4gb-ram-16gb-ssd-storage-hdmi-hd-camera-chrome-os-laptops-computer-notebook-6-months-warraanty?skuId=19804747
"Touchscreen Refurbished LENOVO YOGA 11E 4GB RAM 128GB SSD REFURBISHED LAPTOP , BLACK , 12"" INCH , INSTALLED WINDOWS 10 PRO",11499,(4),,https://www.kilimall.co.ke//listing/1000344507-touchscreen-refurbished-lenovo-yoga-11e-4gb-ram-128gb-ssd-refurbished-laptop-black-12-inch-installed-windows-10-pro?skuId=10001201705
"Refurbished Laptop Lenovo Thinkpad T430 Core i5 3th Gen 4GB+500GB+12.5"" Windows 10 Refurbished Lenovo Laptops Notebook Black 12 inch",12299,(0),,https://www.kilimall.co.ke//listing/1000325030-refurbished-laptop-lenovo-thinkpad-t430-core-i5-3th-gen-4gb500gb125-windows-10-refurbished-lenovo-laptops-notebook-black-12-inch?skuId=10001127404
Touchscreen {i5 8gb ram + 128gb ssd } Refurbished HP ProBook x360 11 G1 EE Intel Core i5 8th Gen  8GB RAM 128GB SSD 11.6 Inch HD Display Refurbished hp Laptop Refurbished Laptops,18699,(0),,https://www.kilimall.co.ke//listing/1000342830-touchscreen-i5-8gb-ram-128gb-ssd-refurbished-hp-probook-x360-11-g1-ee-intel-core-i5-8th-gen-8gb-ram-128gb-ssd-116-inch-hd-display-refurbished-hp-laptop-refurbished-laptops?skuId=10001192432
